UF,Aparelho,SaleAmt,SaleQt,BcpFund,SaleCostAmt,GrossProfitAmt,Price,SMU%,GM%,BCP%,Cost
MG,LENOVO XT2239-1 MOTO E22 128GB,691.95,1,247.96,419.93,63.06,691.95,0.393120890237734,0.09113375243876003,0.3583495917335067,419.93
PR,SAMSUNG A546E GALAXY A54 5G 128GB,1753.12,1,414.09,1274.33,269.56,1753.12,0.2731073742812814,0.1537601533266405,0.23620174317787715,1274.33
PR,SAMSUNG A346M GALAXY A34 5G 128GB,2474.58,2,290.22,2087.87,70.39,1237.29,0.15627298369824372,0.028445231109925726,0.11728050820745341,1043.935
MG,LENOVO XT2335-1 MOTO G53 5G 128GB,1752.25,2,613.41,1077.66,144.39,876.125,0.3849850192609502,0.08240262519617633,0.3500699101155657,538.83
MG,SAMSUNG A145M GALAXY A14 128GB,770.88,1,249.57,494.04,42.14,770.88,0.35912204234122036,0.05466479867164799,0.32374688667496887,494.04
ES,SAMSUNG A346M GALAXY A34 5G 128GB,2629.25,2,254.04,2271.73,17.57,1314.625,0.13597794047732248,0.006682514024912047,0.09662070932775506,1135.865
PR,SAMSUNG A055M GALAXY A05 128GB,700.72,1,225.11,450.8,170.55,700.72,0.35666171937435787,0.2433925105605663,0.3212552802831374,450.8
SC,SAMSUNG A146M GALAXY A14 5G 128GB,902.43,1,125.26,742.33,131.99,902.43,0.1774098822069301,0.14626065179570716,0.13880300965171816,742.33
PR,SAMSUNG S711B GALAXY S23 FE 5G 128GB,2630.12,1,683.08,1851.05,469.57,2630.12,0.2962108192782078,0.17853558012562165,0.2597143856554074,1851.05
PR,LENOVO XT2343-1 MOTO G54 5G 128GB,1139.22,1,365.49,733.37,276.75,1139.22,0.3562525236565369,0.2429293727287091,0.32082477484594724,733.37
PR,LENOVO XT2335-1 MOTO G53 5G 128GB,780.62,1,129.94,620.92,62.65,780.62,0.2045809740975123,0.0802567190182163,0.1664574312725782,620.92
PR,SAMSUNG A055M GALAXY A05 128GB,1401.45,2,471.44,880.74,363.45,700.725,0.3715508937172215,0.259338542224125,0.33639444860680007,440.37
MG,LENOVO XT2343-1 MOTO G54 5G 128GB,1051.52,1,338.76,675.54,55.72,1051.52,0.3575585818624468,0.05298995739500913,0.3221622032866707,675.54
PR,LENOVO XT2343-1 MOTO G54 5G 128GB,1139.22,1,259.8,837.21,165.38,1139.22,0.2651024385105598,0.1451695019399238,0.22805077158055512,837.21
PR,SAMSUNG A145M GALAXY A14 128GB,770.88,1,158.23,583.78,93.41,770.88,0.24270963055209638,0.12117320464923205,0.20525892486508923,583.78
PR,SAMSUNG A145M GALAXY A14 128GB,788.42,1,169.51,589.52,103.62,788.42,0.25227670530935287,0.13142741178559653,0.21499961949214885,589.52
